num,norm_time,div_time,dup_time,opt_time,data_size,norm_attacker_time,norm_h3_time,norm_h4_time,norm_h5_time,norm_h6_time,norm_h7_time,norm_h8_time,norm_h9_time,norm_h10_time,div_attacker_time,div_h3_time,div_h4_time,div_h5_time,div_h6_time,div_h7_time,div_h8_time,div_h9_time,div_h10_time,dup_attacker_time,dup_h3_time,dup_h4_time,dup_h5_time,dup_h6_time,dup_h7_time,dup_h8_time,dup_h9_time,dup_h10_time,opt_attacker_time,opt_h3_time,opt_h4_time,opt_h5_time,opt_h6_time,opt_h7_time,opt_h8_time,opt_h9_time,opt_h10_time
62,54.5530121326,52.401651144,48.6965630054,44.0333921909,60000,53.912,47.826,49.601,42.417,52.955,53.743,48.576,47.698,53.618,29.885,50.781,49.643,50.702,51.451,45.623,51.730,41.827,47.255,41.526,43.785,48.038,44.707,41.293,48.034,47.999,45.020,48.039,13.999,42.852,43.539,37.965,39.147,43.403,42.296,43.491,36.464
63,47.3300628662,51.001609087,51.285394907,46.404034853,60000,46.903,42.514,34.422,43.623,42.675,39.827,37.048,44.752,44.106,30.275,49.452,50.378,45.810,49.178,45.987,49.161,50.512,40.238,40.764,50.881,47.129,50.260,50.301,41.662,48.444,44.800,47.582,16.012,42.748,45.933,45.004,44.671,39.120,40.896,40.949,44.499
64,49.7419500351,48.9851078987,48.7410180569,45.1541378498,60000,47.967,32.942,40.849,49.177,48.231,48.529,41.983,45.283,47.903,28.149,48.454,47.593,39.914,47.645,46.316,46.641,45.884,38.429,44.586,39.212,45.307,41.836,48.202,47.902,39.135,46.483,44.687,14.578,42.967,40.922,44.251,44.672,43.498,43.340,44.650,37.597
65,47.8600628376,43.8758878708,51.3699469566,42.8903942108,60000,41.099,44.278,47.343,44.145,40.874,45.942,37.183,45.499,40.814,29.662,39.236,40.467,42.594,43.373,43.034,34.850,36.996,42.252,44.869,43.253,48.914,49.397,50.818,46.393,50.775,42.877,49.059,14.848,40.118,39.873,42.200,34.005,42.463,41.186,42.404,33.100
66,46.5221600533,50.2826879025,53.6093120575,41.5240821838,60000,25.051,44.628,44.201,41.530,43.840,38.884,45.955,41.039,42.909,30.872,49.724,48.387,40.680,49.100,48.588,47.708,42.643,48.936,33.106,53.166,51.427,51.642,50.921,50.364,50.553,52.024,42.184,14.632,30.805,34.067,39.040,41.128,36.129,39.418,38.758,39.583
67,51.4611570835,49.5156269073,49.0705080032,43.8239490986,60000,48.624,50.440,51.064,46.683,42.754,50.734,37.062,48.950,48.024,30.652,48.788,43.740,44.616,48.078,45.326,40.338,49.002,48.383,43.612,41.626,40.606,37.156,47.313,46.755,45.836,48.513,48.282,15.058,42.275,43.351,37.962,42.699,42.136,39.723,34.945,43.004
68,49.5281050205,46.5653979778,49.805590868,44.0933589935,60000,45.891,48.953,44.912,44.246,48.260,43.323,48.656,47.944,45.098,29.240,45.637,45.946,44.435,46.082,34.245,38.709,42.655,42.298,44.960,43.590,46.885,49.281,43.388,45.206,45.841,49.006,47.856,15.096,41.851,39.692,40.109,43.580,34.317,40.463,41.613,39.473
69,47.7906229496,51.0923600197,46.9077000618,45.4450330734,60000,46.898,43.889,47.148,47.235,43.922,43.395,44.628,33.154,39.676,29.878,49.332,42.358,45.472,50.459,48.300,48.021,48.878,50.409,31.538,36.709,45.900,43.975,46.441,42.093,40.215,45.542,42.249,15.614,40.035,43.486,40.010,45.013,44.407,41.117,43.208,39.162
70,47.7300760746,53.2606658936,51.597618103,44.3333799839,60000,37.627,45.741,47.232,41.972,40.989,45.844,43.245,32.862,45.804,31.450,52.157,50.249,52.343,52.745,51.305,50.630,50.345,42.035,44.864,49.777,47.166,50.752,50.344,50.764,45.234,42.598,50.814,15.527,40.270,41.154,41.978,35.636,32.245,42.243,42.251,43.570
71,48.1898050308,48.6732048988,50.015791893,42.7641630173,60000,42.783,47.563,33.628,40.779,46.996,43.539,46.473,42.158,46.429,35.382,46.491,45.156,47.309,42.264,47.970,40.598,46.925,38.994,36.547,42.877,47.848,43.293,48.582,47.268,46.910,46.829,49.424,14.844,42.274,41.826,41.899,37.689,33.909,38.072,40.155,35.453
